xi,pe,year_done,num_ids_found,avg_second_last_param,avg_last_param
0.5,6.1,25,50,0.9856617151999995,0.8576930630000003
0.5,6.1,26,50,0.9857162572000001,0.8581408804000006
0.5,6.1,27,50,0.9857712441999995,0.8585814475999994
0.5,6.1,28,50,0.9858218840000003,0.8590033354000002
0.5,6.1,29,50,0.9858705283999996,0.8594137906
0.5,6.1,30,50,0.9859190956,0.8598276481999997
1,6.4,25,50,0.9222418936,0.5095232731999999
1,6.4,26,50,0.9222811226000001,0.5097684419999999
1,6.4,27,50,0.9223015605999998,0.5099379506000001
1,6.4,28,50,0.9223072680000008,0.5100123994
1,6.4,29,50,0.9223122644000008,0.5100444932
1,6.4,30,50,0.9223213542000002,0.5100783083999999
10000,6.9,25,50,0.7070303344,0.17402111779999996
10000,6.9,26,50,0.7070303449999998,0.17402113119999993
10000,6.9,27,50,0.7070303461999998,0.1740211317999999
10000,6.9,28,50,0.7070303521999998,0.1740211385999999
10000,6.9,29,50,0.7070303586,0.17402114539999988
10000,6.9,30,50,0.7070303656,0.1740211523999999
