5.713628934761565577e-06,1.476893937465045055e-04,9.344426290023148695e-06,5.770929400978702751e-07,1.350812047242953849e-06,3.758080485774173190e-06,8.963865424485230229e-06,6.253071947267982390e-04,7.103935333340407323e-06,2.542926411305254182e-06,3.581564117650438191e-06,1.156720918408968800e-04,8.521239077835020561e-07,2.187070535565061758e-06,8.018458580218518897e-06,2.678550539495797172e-05,6.352393014856061275e-05,9.171070457588335575e-06,3.579978998547131853e-04,3.623797711735249078e-04,9.853172546322789790e-05,7.131832333392987755e-04,1.062176598537365900e-03,1.539652977737020656e-05,3.023567470354796623e-05,3.668585576082632909e-05,2.987238150647079796e-05,2.934335588127973127e-04,2.864601790221853054e-04,7.620081618069286409e-04,1.048023923144826780e-03,1.466554983030863646e-03,2.505504298582404872e-03,3.630546115127898221e-03,3.009934347421813782e-04,1.677500344874387039e-06,2.222895984025000359e-05,1.378118008155897603e-05,9.385082155257761340e-06,3.339267025352241693e-05,9.499445112957398342e-05,6.768862727610427531e-05,4.296675655363258904e-04,5.432444131700980882e-04,2.574056481091862875e-03,3.907754713870180245e-03,1.033201850958963969e-03,2.309230891001140442e-04,2.370302547934338819e-04,3.837206725936014116e-04,1.420026034327702912e-04,6.425730423107159275e-04,4.227123293882077367e-04,1.433288957264073466e-04,7.759328880314888491e-04,1.129986099972766806e-04,2.824844174910850093e-03,1.805485450413915919e-03,1.933989422476655922e-06,8.247650082578159079e-05,1.443602715707997201e-03,9.686437866233932022e-04,3.398858562153504563e-03,1.226145433495722708e-03,2.640896539930064416e-03,3.210661266963465293e-03,1.466631498544911658e-03,1.992156500752607917e-03,3.595402398489008485e-05,1.003991536193392072e-03,1.756907883689506813e-03,6.627827461972998031e-04,1.942158685500673188e-03,1.263981622725933061e-03,5.027788099922600625e-04,8.606905049079218968e-04,2.149764669184671406e-03,1.593915881617865465e-04
2.675544388145646210e-14,1.476893937162521749e-04,3.782053079378165789e-14,3.011411617714145624e-16,7.586046793373561674e-14,4.239529282029565220e-14,4.414605801545254473e-14,6.253071946846824056e-04,2.914550395872481193e-14,2.318486766059232057e-14,1.502623823730755670e-14,2.820994966077952085e-14,2.741176414055279071e-16,4.504863236199439940e-14,4.255041935939269642e-14,2.678550530969125778e-05,6.352393011066365396e-05,2.851225534452171050e-14,3.748122372980263390e-14,2.674779120197008831e-14,3.961711600734973606e-14,7.131832333324172359e-04,1.062176598534758610e-03,2.163119262644584703e-14,3.735716840343266497e-14,4.505698809982316466e-14,8.097771220681437078e-14,2.934335587580995841e-04,4.726147020187987364e-14,4.687002671382229918e-14,2.960998003681654549e-14,2.947815284076736825e-14,2.505504298571220676e-03,3.630546115124491657e-03,3.009934347410137467e-04,1.666242438733244070e-14,2.008054209788218133e-14,3.934489985006110758e-14,9.385082132861139565e-06,3.339267024556753750e-05,1.100450333879113818e-13,3.411414978880773930e-14,2.087930345739262307e-14,3.196696226394633926e-14,2.574056481075356548e-03,3.907754713868221742e-03,1.033201850957673551e-03,1.785426032194823152e-14,1.531938640084016969e-14,2.476795569036418734e-14,4.775774992883228022e-14,3.528629932040994329e-05,3.864394690624250809e-14,7.492441174643520095e-14,8.076785437907178598e-14,1.534287186250048013e-13,2.824844174907545011e-03,1.805485450413023621e-03,1.034516247454509765e-14,1.554765209478696469e-14,1.015424307064082231e-13,4.547483393675933879e-14,3.398858562132130168e-03,4.827803948209029518e-14,2.640896539913247139e-03,3.210661266960888795e-03,1.466631498541128226e-03,1.992156500750669797e-03,3.595402395849933003e-05,1.003991536191108525e-03,1.756907883687580402e-03,6.627827461952232307e-04,1.942158685499689817e-03,1.263981622724219154e-03,5.027788099909402631e-04,8.606905049075627007e-04,2.149764669184043870e-03,1.593915881609345262e-04
1.551880596942162470e-14,5.121833718489437828e-14,1.921934770674880584e-14,6.136654441331321919e-16,2.526267841795407822e-14,2.061517173676037521e-14,2.102722245298929658e-14,4.775515398071684878e-14,1.653904993975243851e-14,1.397438886681488542e-14,9.998418056539367418e-15,1.601618767150425446e-14,5.579066381842420158e-16,2.074437610826800654e-14,2.056517521128105676e-14,4.023565305801498377e-14,3.660025562874536687e-14,1.625371444261809720e-14,1.923649948350873438e-14,1.550585864869577403e-14,1.976290667347262064e-14,7.131832332955107771e-04,1.062176598528215667e-03,1.332368925756482612e-14,1.923896061469709045e-14,2.120407773155221007e-14,2.687399907259861296e-14,4.472961396685792992e-14,2.174325398141751533e-14,2.161644869337253250e-14,1.671647649255284112e-14,1.665523419079502338e-14,2.005208322288478534e-03,3.630546115114288448e-03,3.009934347389547926e-04,1.102680080123910473e-14,1.268828953199001623e-14,1.995199369372210325e-14,5.865647038823388469e-14,3.339267018873703420e-05,2.932489209252828297e-14,1.823464299082759740e-14,1.302881143196616021e-14,1.758331420454045833e-14,8.923924734088746851e-14,3.907754713864047130e-03,1.033201850955378946e-03,1.160880977778203575e-14,1.021094663516251068e-14,1.487860608846656692e-14,2.208286838874106805e-14,3.637890894807238476e-14,1.966809736088608163e-14,2.645803753930395168e-14,2.705622953159420816e-14,3.132336420401774380e-14,2.824844174897830993e-03,1.805485450411576645e-03,7.340317908989789171e-15,1.039122239966143473e-14,2.908892626538803971e-14,2.157008544082830419e-14,6.446243700034625991e-14,2.216382657591292358e-14,8.632476980076788151e-14,3.210661266954524962e-03,1.466631498529270090e-03,1.992156500746514701e-03,5.526106168191687596e-14,1.003991536185838652e-03,1.756907883683538714e-03,6.627827461906804236e-04,1.942158685498086715e-03,1.263981622720795461e-03,5.027788099885362617e-04,8.606905049070587635e-04,2.149764669183093242e-03,1.593915881595833663e-04
1.131797234933773229e-14,2.363596074276967709e-14,1.329442819338201600e-14,8.132636382651854751e-16,1.598967004867096278e-14,1.406770345117285194e-14,1.428220065562007535e-14,2.308292227747921585e-14,1.198232577210670587e-14,1.044122178634395172e-14,7.795847002749071790e-15,1.156359024653049406e-14,7.388991764851809191e-16,1.426041111466494861e-14,1.400771717273495007e-14,2.096515701676966095e-14,2.000040388584949811e-14,1.178147479242312437e-14,1.340035482981886415e-14,1.131036574486968727e-14,1.361657470811322403e-14,4.823536427442959415e-14,1.062176598486551512e-03,9.998885147574191522e-15,1.344106268831828763e-14,1.435785179621494762e-14,1.679510653518090780e-14,2.235618043373422796e-14,1.463117819737354044e-14,1.454168124961510434e-14,1.209008242212911328e-14,1.204482078544891925e-14,3.822543240033874984e-14,4.799892651717653439e-13,3.009934347349229699e-04,8.576648900482322617e-15,9.647463966759058902e-15,1.389378030811473669e-14,2.607438195391536707e-14,4.460650736831219227e-14,1.778437784985213598e-14,1.293476193912706468e-14,9.840220489783992819e-15,1.259667671249556937e-14,2.976945333742160772e-14,3.907754713850504144e-03,1.033201850950743331e-03,8.961989314681520714e-15,7.977306960920935159e-15,1.107966177783678833e-14,1.496049713364717272e-14,2.007056899994189097e-14,1.369627210502830671e-14,1.681177530257283402e-14,1.702377471326763549e-14,1.849539306602698844e-14,2.228553702837460411e-03,1.805485450409097942e-03,5.930935399495086551e-15,8.142344435130056818e-15,1.798658588728220558e-14,1.472885095065955490e-14,2.674253975232818740e-14,1.496947808675570774e-14,2.931284872905762051e-14,3.210661266916539722e-03,1.482237297541774325e-13,1.992156500732998603e-03,2.503018017679358725e-14,1.003991536162196973e-03,1.756907883671003819e-03,6.627827461744245467e-04,1.942158685495365585e-03,1.263981622711764273e-03,5.027788099834822532e-04,8.606905049063551163e-04,2.149764669181643013e-03,1.593915881573360863e-04
9.178834536689980731e-15,1.698887306584944437e-14,1.054410342835427174e-14,9.662255937575408484e-16,1.241929087519543372e-14,1.111242767233472795e-14,1.127987473390780783e-14,1.680034135386868601e-14,9.708063914045121253e-15,8.568613673561524311e-15,6.529382459509933533e-15,9.327923967275441274e-15,8.775176182174715014e-16,1.127227111187500429e-14,1.106115841139488628e-14,1.546815322303158350e-14,1.496401370196700267e-14,9.537854954894212232e-15,1.068181817621751532e-14,9.173555917295965326e-15,1.079913275538714563e-14,2.932342206105159650e-14,1.608677643140513312e-13,8.218575426776854323e-15,1.073617162830623042e-14,1.132696865290864590e-14,1.294044663581080907e-14,1.638725971924024611e-14,1.152277969891046230e-14,1.144329206894996484e-14,9.790872390647248583e-15,9.751329199976835867e-15,2.472565693820311537e-14,7.302336672452725437e-14,3.009934347273917764e-04,7.182548525349249429e-15,7.987769887207314113e-15,1.110726874778319097e-14,1.886792832575590152e-14,2.820526587063460630e-14,1.362375705865835434e-14,1.039923135251000998e-14,8.116728470923659815e-15,1.016772226645327256e-14,2.078796712771928062e-14,3.907754713785836255e-03,1.033201850941709325e-03,7.482243313560613695e-15,6.695166622558309150e-15,9.101529537589019688e-15,1.185412265562004915e-14,1.507905409414157853e-14,1.093593438845150725e-14,1.305609366777420178e-14,1.317785207517898284e-14,1.408495889301503605e-14,8.214954467543491447e-14,1.805485450405026979e-03,5.071672489571722068e-15,6.852716460244784031e-15,1.391492940839354629e-14,1.170294193179756359e-14,1.912404465551208727e-14,1.184050724859296096e-14,2.044042835144029536e-14,1.814928510865214210e-13,5.625204095550768197e-14,1.992156500668212319e-03,1.812239196074037541e-14,5.284470018214222761e-04,1.756907883619226226e-03,6.627827460683003444e-04,1.942158685490779626e-03,1.263981622686337564e-03,5.027788099732016314e-04,8.606905049054055720e-04,2.149764669179512339e-03,1.593915881537525813e-04
7.795304984277492717e-15,1.354877802956613636e-14,8.832994837540138327e-15,1.091389015782968066e-15,1.028920688430343540e-14,9.293110673629265756e-15,9.440581755683761500e-15,1.351032697984043407e-14,8.249706656714490876e-15,7.333141053471707114e-15,5.661098756978999433e-15,7.891750568243677312e-15,9.909666871873813384e-16,9.420449595516790216e-15,9.249674507156259243e-15,1.250828873131906280e-14,1.220866555703824979e-14,8.096868779743308199e-15,8.988249250387910717e-15,7.792349218255002444e-15,9.054436436650420385e-15,2.183736742952220328e-14,7.523047092303531797e-14,7.040507633407903689e-15,9.048942329845436359e-15,9.473255446796740821e-15,1.069481184590226478e-14,1.322658252859967012e-14,9.631673284309459539e-15,9.557130801661213080e-15,8.320002471794706535e-15,8.283568428767843549e-15,1.901160534000828359e-14,4.413147560116176787e-14,3.009934347121869793e-04,6.232945806388317498e-15,6.879501421565803312e-15,9.379425444896929283e-15,1.521295438829127563e-14,2.153201758190421281e-14,1.124200595546595230e-14,8.801552281118367309e-15,6.971502696146715911e-15,8.626685033875145752e-15,1.648848303992089570e-14,1.411203693311498687e-03,1.033201850922394914e-03,6.482376867959965472e-15,5.817227823319379627e-15,7.809292587912961053e-15,9.965006328351080787e-15,1.234109117716330363e-14,9.221248507465423021e-15,1.085713709086970345e-14,1.093709934497786090e-14,1.159353070614709718e-14,4.788527619842699563e-14,1.805485450397908975e-03,4.463706566172504412e-15,5.969676067731073849e-15,1.157398930693525436e-14,9.853821590816090961e-15,1.531529056557586483e-14,9.940126010860275686e-15,1.617580534261057552e-14,8.168667171006998601e-14,3.698996985841879877e-14,1.010159720111864337e-10,1.458646904113043997e-14,1.708474789266554287e-13,1.756907883092903317e-03,3.785530860454352073e-13,1.942158685482568529e-03,1.263981622601089783e-03,5.027788099498911763e-04,8.606905049041010600e-04,2.149764669176285319e-03,1.593915881476996703e-04
6.773912621111093212e-15,1.123537238933076171e-14,7.592862967812245290e-15,1.196838643717174301e-15,8.771801192975794011e-15,7.979896585285820066e-15,8.116560020779563678e-15,1.128895362204724304e-14,7.177488671511242969e-15,6.411358809205075449e-15,5.001359739270627616e-15,6.835377753832645862e-15,1.086677684075321861e-15,8.081128383170265455e-15,7.943529201681369523e-15,1.048759229517339170e-14,1.031669589410688613e-14,7.036888955089213893e-15,7.760058864577553476e-15,6.773303520215192571e-15,7.792419456705364058e-15,1.723799667544367694e-14,4.317867379497986994e-14,6.161162224898136468e-15,7.824152930731034450e-15,8.139751614413269209e-15,9.112641781254666878e-15,1.108363441006608347e-14,8.274713053618714173e-15,8.203272803779915347e-15,7.239952404722132420e-15,7.205668898291158857e-15,1.542094317524789825e-14,3.033105118571265169e-14,3.009934346523064934e-04,5.513284496296688046e-15,6.048384983653404744e-15,8.128884026973601136e-15,1.277589450662239362e-14,1.740147109758517423e-14,9.576376510566269065e-15,7.636494307334295014e-15,6.114956305631626871e-15,7.499443121265590522e-15,1.367990281916556184e-14,9.598913208683332287e-14,1.033201850821856846e-03,5.728203458295514200e-15,5.150641285790990216e-15,6.850642845165267057e-15,8.609705323217968821e-15,1.045903854338392290e-14,7.979235222198741452e-15,9.305148560022053012e-15,9.358859327327376437e-15,9.860737729294770759e-15,3.233661596577842624e-14,1.805485450379988414e-03,3.994094878043737065e-15,5.299026926368573687e-15,9.934774905322220704e-15,8.524294133331068870e-15,1.278875623534811707e-14,8.577504088179952248e-15,1.338518278862465394e-14,4.628011063554312367e-14,2.681069783056007584e-14,9.504116593509835248e-14,1.221983355607314721e-14,6.397909232487279543e-14,1.013442519443046704e-13,7.955310803150225288e-14,1.942158685460013872e-03,1.388284249859415896e-13,5.027788097692246052e-04,8.606905049021796369e-04,2.149764669170579380e-03,1.593915881338118807e-04
5.978256528340564893e-15,9.549144401415440886e-15,6.639799478252542569e-15,1.287180578759973408e-15,7.620497385288351887e-15,6.973579574696087477e-15,7.103586995918124909e-15,9.664609071712811129e-15,6.344497926095760958e-15,5.687682368946988750e-15,4.476289588869623149e-15,6.014831407107825002e-15,1.168882809860731795e-15,7.054619423658330167e-15,6.943212371323538833e-15,8.997564865086549208e-15,8.915088236172486920e-15,6.213217237531219682e-15,6.815324783149727933e-15,5.979797194951607695e-15,6.823544108320657610e-15,1.411885827502567460e-14,2.913275148173641662e-14,5.470449829714120365e-15,6.881251639358460491e-15,7.120005998978025406e-15,7.919843118361109083e-15,9.511715681314629459e-15,7.238758598951981293e-15,7.169531708990112945e-15,6.401542075422868008e-15,6.368885208366255765e-15,1.292878124087913183e-14,2.266263196196736946e-14,1.142657602881578709e-13,4.941362126398460175e-15,5.393162306125957574e-15,7.167927446146214271e-15,1.101007845261715522e-14,1.457687941487450843e-14,8.326829722223474383e-15,6.736437011582556749e-15,5.441121834627251405e-15,6.626771186025796050e-15,1.167511721268929071e-14,4.630024809034133072e-14,9.759023654420928821e-14,5.130923541301450408e-15,4.620223799808351834e-15,6.100656930837013543e-15,7.574705543018896128e-15,9.063830336670580542e-15,7.024446873672337389e-15,8.133493149854297175e-15,8.169156202586225549e-15,8.565669666756393551e-15,2.398165062657619555e-14,1.805485450193869499e-03,3.615573077458387919e-15,4.765077926910110023e-15,8.703731405338386296e-15,7.507375354726323023e-15,1.096493868451315418e-14,7.537385030165406087e-15,1.139085528619474161e-14,3.142703435678708530e-14,2.073925618435985119e-14,4.520847463619228902e-14,1.049969879111212193e-14,3.848825905183620129e-14,4.807862054673175496e-14,4.279584124976420692e-14,4.642353808389393399e-04,5.407589304870993576e-14,8.727567646363302048e-14,8.606905048991132963e-04,2.149764669158024319e-03,1.593915880585134977e-04
5.344515502463508814e-15,8.285349515295485711e-15,5.890216374332851215e-15,1.365724050578995204e-15,6.725482219937859232e-15,6.184196060911276841e-15,6.309596471228091221e-15,8.442236945528467635e-15,5.682247618818958494e-15,5.107126170540257426e-15,4.049471790514048175e-15,5.363168289078545233e-15,1.240584374306041563e-15,6.249992930474539163e-15,6.158716681004308110e-15,7.867662386611541163e-15,7.846645470416618586e-15,5.558358989046119692e-15,6.071071374182635983e-15,5.347867972337894443e-15,6.061991974706641720e-15,1.193922461602744945e-14,2.220597723462343891e-14,4.915854255487177244e-15,6.137799835044670524e-15,6.321110344404233130e-15,6.996887220209077026e-15,8.325095688627437555e-15,6.428145102707623292e-15,6.360721356577574587e-15,5.735314223456710128e-15,5.703962847391352138e-15,1.114055495820884857e-14,1.815938248558230084e-14,6.025798262555393473e-14,4.476871213880650048e-15,4.865037225966656321e-15,6.410979829875615497e-15,9.690830191075537396e-15,1.258048714880590199e-14,7.363774275587934250e-15,6.024419077214893788e-15,4.899169822307422411e-15,5.934953310340648407e-15,1.019832059032675044e-14,3.253205409211260955e-14,5.517295930901765243e-14,4.647202611533578519e-15,4.188849129412951384e-15,5.500090514691222987e-15,6.763904899123886371e-15,7.999233780410245269e-15,6.272320501971423392e-15,7.225109837994420155e-15,7.248032906888274882e-15,7.570681055933983697e-15,1.919197534594564382e-14,2.959195658841489276e-13,3.303911304125472982e-15,4.330420586389308459e-15,7.752931177529727164e-15,6.709542211254247185e-15,9.607517122677218878e-15,6.722978603056875938e-15,9.920823031730693376e-15,2.428116909428650711e-14,1.696925568051790685e-14,3.136267832079200586e-14,9.211361084718303744e-15,2.870830030708071909e-14,3.381930707394192042e-14,3.086700113046037986e-14,1.908511952108326900e-13,3.621267034125359458e-14,4.989420680854897007e-14,8.606905048938748651e-04,2.149764669126917691e-03,2.996148971343750908e-05
4.820716437429375865e-15,7.279734267313335871e-15,5.275827569719944148e-15,1.434230154976592533e-15,5.996075926203109264e-15,5.538056687286408918e-15,5.659880857427200192e-15,7.466932723730316866e-15,5.135238058442428609e-15,4.624842377146152885e-15,3.692031228157381792e-15,4.825741016447428034e-15,1.303430398405610237e-15,5.591683212904986190e-15,5.516719091858727084e-15,6.961903506895304534e-15,6.987165833384924303e-15,5.017562370084296685e-15,5.460088641471591018e-15,4.825623057428116973e-15,5.437821853378274087e-15,1.027376490916461112e-14,1.767018803675133161e-14,4.454980900128747129e-15,5.526986645485425673e-15,5.667647444263304270e-15,6.247656668837287702e-15,7.376465174555116187e-15,5.765545137984366579e-15,5.699715517236302605e-15,5.185189881582179835e-15,5.154954120710750980e-15,9.753466033020483945e-15,1.500314656499643107e-14,3.666060795039991886e-14,4.087643887860765010e-15,4.424879831155720925e-15,5.789189662558349050e-15,8.642324314135582387e-15,1.104521540170485866e-14,6.583722295229143583e-15,5.438047858709809779e-15,4.448239096020191253e-15,5.364472274804648618e-15,9.034885109329291193e-15,2.477134232256522686e-14,3.601883513699400987e-14,4.242680090979126001e-15,3.827268199559197834e-15,5.001439334322789335e-15,6.100206544984462999e-15,7.142272057852663441e-15,5.654659730576233225e-15,6.486503761090386522e-15,6.499797342988343273e-15,6.766328633465439819e-15,1.587141290176705547e-14,7.116704732800578597e-14,3.040533340653417350e-15,3.965631862520513313e-15,6.981513335103150182e-15,6.055853507302851573e-15,8.531439954491443119e-15,6.056662761385608529e-15,8.762321255379806284e-15,1.965596390224726839e-14,1.425997565143337627e-14,2.353058704719448419e-14,8.185905113979356595e-15,2.279582169834844653e-14,2.584850324553025224e-14,2.393193779675325374e-14,6.557238496437300769e-14,2.659186286198083530e-14,3.263256214681922122e-14,8.606905048808605359e-04,6.463722557457214591e-04,9.013834623576650789e-14
