sites,transfer,base_delta,sensitivity_delta,base_pee,sensitivity_pee,base_price_emissions,sensitivity_price_emissions,year,base_z_share_pct,sensitivity_z_share_pct,diff_z_share_pp,base_capture_gt,sensitivity_capture_gt,diff_capture_gt,base_net_transfer,sensitivity_net_transfer,diff_net_transfer
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,0,14.523680804139719,14.523680804139719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,1,14.89182967209185,14.960115100495456,0.06828542840360541,-1.4987121031079198,-1.365296203882565,0.1334158992253549,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,2,15.237308478321355,15.370401295855107,0.13309281753375224,-3.2766417299049237,-3.0797199508476467,0.19692177905727704,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,3,15.552436911727227,15.752136851684762,0.19969993995753477,-4.5082524918111915,-4.365503970540857,0.14274852127033455,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,4,15.848203521820475,16.106874612405385,0.2586710905849099,-5.605518180820951,-5.378852227731926,0.22666595308902515,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,5,16.123876539570922,16.435976776604313,0.3121002370333912,-6.404153055689335,-6.28555149137506,0.11860156431427527,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,6,16.378894025703296,16.74580868083138,0.36691465512808463,-7.074141102729641,-6.917355914520471,0.1567851882091702,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,7,16.61798754109847,17.036227005820567,0.41823946472209883,-7.780021661966515,-7.559448297888309,0.2205733640782057,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,8,16.84110669235648,17.308395972782318,0.46728928042583817,-8.442700271570715,-8.188508330949702,0.2541919406210127,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,9,17.04861767601525,17.565810776197605,0.5171931001823538,-8.848139278972866,-8.8227223638944,0.025416915078466218,0.0,0.0,0.0
