context,model,sites,xi,price_model,pee,metric,abs_metric,source_kind,source_file
parameter_ambiguity,hmc,1043,0.5,,3.1,-0.03829689947269805,0.03829689947269805,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0012_run.out
parameter_ambiguity,hmc,1043,0.5,,3.2,-0.0446509137466834,0.0446509137466834,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0013_run.out
parameter_ambiguity,hmc,1043,0.5,,3.3,-0.05622922811565728,0.05622922811565728,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0014_run.out
parameter_ambiguity,hmc,1043,0.5,,3.4,-0.06842089856961263,0.06842089856961263,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0015_run.out
parameter_ambiguity,hmc,1043,0.5,,3.5,-0.08143907362574343,0.08143907362574343,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0016_run.out
parameter_ambiguity,hmc,1043,0.5,,3.6,-0.09773198737732458,0.09773198737732458,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0017_run.out
parameter_ambiguity,hmc,1043,0.5,,3.7,-0.1093914414981278,0.1093914414981278,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0018_run.out
parameter_ambiguity,hmc,1043,0.5,,3.8,-0.12168472345827609,0.12168472345827609,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0019_run.out
parameter_ambiguity,hmc,1043,0.5,,3.9,-0.13536660464568828,0.13536660464568828,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0020_run.out
parameter_ambiguity,hmc,1043,1,,4.0,0.1254520691441674,0.1254520691441674,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0021_run.out
parameter_ambiguity,hmc,1043,1,,4.1,0.11041736509809033,0.11041736509809033,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0022_run.out
parameter_ambiguity,hmc,1043,1,,4.2,0.0959518462849066,0.0959518462849066,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0023_run.out
parameter_ambiguity,hmc,1043,1,,4.3,0.08119088322420112,0.08119088322420112,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0024_run.out
parameter_ambiguity,hmc,1043,1,,4.4,0.06535833480316973,0.06535833480316973,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0025_run.out
parameter_ambiguity,hmc,1043,1,,4.5,0.04837127408701016,0.04837127408701016,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0026_run.out
parameter_ambiguity,hmc,1043,1,,4.6,0.028285068459811064,0.028285068459811064,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0027_run.out
parameter_ambiguity,hmc,1043,1,,4.7,0.018683732476812893,0.018683732476812893,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0028_run.out
parameter_ambiguity,hmc,1043,1,,4.8,0.001532064788426553,0.001532064788426553,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0029_run.out
parameter_ambiguity,hmc,1043,1,,4.9,-0.012537163836011812,0.012537163836011812,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0030_run.out
parameter_ambiguity,hmc,1043,1,,5.0,-0.030481926055770527,0.030481926055770527,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0031_run.out
parameter_ambiguity,hmc,1043,2,,5.0,0.09304104501702128,0.09304104501702128,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0032_run.out
parameter_ambiguity,hmc,1043,2,,5.1,0.0802319649072332,0.0802319649072332,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0033_run.out
parameter_ambiguity,hmc,1043,2,,5.2,0.057790986348344175,0.057790986348344175,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0034_run.out
parameter_ambiguity,hmc,1043,2,,5.3,0.04177491531710829,0.04177491531710829,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0035_run.out
parameter_ambiguity,hmc,1043,2,,5.4,0.024743486789749095,0.024743486789749095,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0036_run.out
