Country Name,Country Code,gdp_pc_ppp_2018,emissions_pc_2018,Region,gdp_pc_ppp_2018_100k,plot_group
Ecuador,ECU,11839.3432355586,2.31381230047905,Latin America & Caribbean,0.118393432355586,World Bank country/territory or EU
"Egypt, Arab Rep.",EGY,11639.2390898864,2.50204214229022,Middle East & North Africa,0.116392390898864,World Bank country/territory or EU
Spain,ESP,40696.3876815487,5.52035039972218,Europe & Central Asia,0.406963876815487,World Bank country/territory or EU
Estonia,EST,36249.3581462876,12.1030850007224,Europe & Central Asia,0.362493581462876,World Bank country/territory or EU
Ethiopia,ETH,2154.02087685878,0.149050931014413,Sub-Saharan Africa,0.0215402087685878,World Bank country/territory or EU
European Union,EUU,44639.9973542428,6.42403874133475,,0.446399973542428,World Bank country/territory or EU
Finland,FIN,49580.6051952837,8.04275204989552,Europe & Central Asia,0.495806051952837,World Bank country/territory or EU
Fiji,FJI,14178.5633985018,2.15056197580052,East Asia & Pacific,0.141785633985018,World Bank country/territory or EU
France,FRA,46576.6018489382,4.61924120513374,Europe & Central Asia,0.465766018489382,World Bank country/territory or EU
"Micronesia, Fed. Sts.",FSM,3544.00482035087,1.59801136363636,East Asia & Pacific,0.0354400482035087,World Bank country/territory or EU
Gabon,GAB,15097.6916533021,2.17527220393767,Sub-Saharan Africa,0.150976916533021,World Bank country/territory or EU
United Kingdom,GBR,47573.4880155177,5.39870813789348,Europe & Central Asia,0.475734880155177,World Bank country/territory or EU
Georgia,GEO,14595.6306437119,2.53854169098541,Europe & Central Asia,0.145956306437119,World Bank country/territory or EU
Ghana,GHA,5442.8721471509,0.541201382411755,Sub-Saharan Africa,0.054428721471509,World Bank country/territory or EU
Guinea,GIN,2559.72476578084,0.25132323293185,Sub-Saharan Africa,0.025597247657808398,World Bank country/territory or EU
"Gambia, The",GMB,2209.89259276595,0.249989912687734,Sub-Saharan Africa,0.022098925927659503,World Bank country/territory or EU
Guinea-Bissau,GNB,1947.59676042334,0.165394727856314,Sub-Saharan Africa,0.0194759676042334,World Bank country/territory or EU
Equatorial Guinea,GNQ,20875.478210598,5.09562509645018,Sub-Saharan Africa,0.20875478210598,World Bank country/territory or EU
Greece,GRC,29617.5483399732,6.08317505028006,Europe & Central Asia,0.296175483399732,World Bank country/territory or EU
Grenada,GRD,17231.5122297741,2.69181419303897,Latin America & Caribbean,0.172315122297741,World Bank country/territory or EU
Guatemala,GTM,8665.34726097301,1.11396927255543,Latin America & Caribbean,0.08665347260973011,World Bank country/territory or EU
Guyana,GUY,12777.1649920039,3.13219265038697,Latin America & Caribbean,0.127771649920039,World Bank country/territory or EU
Honduras,HND,5816.74732402308,1.01903275747031,Latin America & Caribbean,0.058167473240230805,World Bank country/territory or EU
Croatia,HRV,28844.9235406393,4.05592876243046,Europe & Central Asia,0.288449235406393,World Bank country/territory or EU
Haiti,HTI,3241.30326869021,0.299374738328049,Latin America & Caribbean,0.0324130326869021,World Bank country/territory or EU
Hungary,HUN,31913.0746552476,4.74550624393641,Europe & Central Asia,0.31913074655247603,World Bank country/territory or EU
Indonesia,IDN,11644.7585390353,2.17846155349724,East Asia & Pacific,0.11644758539035299,World Bank country/territory or EU
India,IND,6675.36129410783,1.79982544579379,South Asia,0.0667536129410783,World Bank country/territory or EU
Ireland,IRL,84555.6348017403,7.62432519277565,Europe & Central Asia,0.8455563480174031,World Bank country/territory or EU
"Iran, Islamic Rep.",IRN,13795.3174673184,7.69301259933288,Middle East & North Africa,0.137953174673184,World Bank country/territory or EU
Iraq,IRQ,10809.4724101413,4.89519536080978,Middle East & North Africa,0.10809472410141299,World Bank country/territory or EU
Iceland,ISL,57211.3003077603,6.23722432177273,Europe & Central Asia,0.572113003077603,World Bank country/territory or EU
Israel,ISR,39906.1246843388,6.97640383662809,Middle East & North Africa,0.399061246843388,World Bank country/territory or EU
Italy,ITA,43036.2437770367,5.37637433931087,Europe & Central Asia,0.43036243777036703,World Bank country/territory or EU
Jamaica,JAM,9968.59449282081,2.89963415544152,Latin America & Caribbean,0.0996859449282081,World Bank country/territory or EU
Jordan,JOR,10253.8174501169,2.47859527268662,Middle East & North Africa,0.10253817450116899,World Bank country/territory or EU
Japan,JPN,42202.4011166689,8.7422577098865,East Asia & Pacific,0.42202401116668903,World Bank country/territory or EU
Kazakhstan,KAZ,26157.6596496269,12.0619691393056,Europe & Central Asia,0.261576596496269,World Bank country/territory or EU
Kenya,KEN,4443.17910861396,0.358028407608337,Sub-Saharan Africa,0.0444317910861396,World Bank country/territory or EU
Kyrgyz Republic,KGZ,5256.39792245424,1.73973556019485,Europe & Central Asia,0.0525639792245424,World Bank country/territory or EU
Cambodia,KHM,4259.20311888739,0.686777894736518,East Asia & Pacific,0.0425920311888739,World Bank country/territory or EU
Kiribati,KIR,2341.19232850631,0.690595811536403,East Asia & Pacific,0.0234119232850631,World Bank country/territory or EU
St. Kitts and Nevis,KNA,28159.273421083,4.95823639345513,Latin America & Caribbean,0.28159273421083,World Bank country/territory or EU
"Korea, Rep.",KOR,43026.2963906338,12.224591362122,East Asia & Pacific,0.43026296390633795,World Bank country/territory or EU
Kuwait,KWT,51690.5689570475,21.6227243085731,Middle East & North Africa,0.516905689570475,World Bank country/territory or EU
Lao PDR,LAO,7775.13187646145,2.66090849278722,East Asia & Pacific,0.0777513187646145,World Bank country/territory or EU
Lebanon,LBN,16054.3624558892,4.03970721671608,Middle East & North Africa,0.160543624558892,World Bank country/territory or EU
Liberia,LBR,1581.03948488783,0.273917114341304,Sub-Saharan Africa,0.0158103948488783,World Bank country/territory or EU
Libya,LBY,15378.5727636163,8.82524913660345,Middle East & North Africa,0.153785727636163,World Bank country/territory or EU
St. Lucia,LCA,15653.2998019908,2.14415305954148,Latin America & Caribbean,0.156532998019908,World Bank country/territory or EU
Sri Lanka,LKA,13169.0947047054,0.998154130133826,South Asia,0.131690947047054,World Bank country/territory or EU
Lesotho,LSO,2677.43631433685,1.21897599376188,Sub-Saharan Africa,0.0267743631433685,World Bank country/territory or EU
Lithuania,LTU,36376.1898152469,4.13700592851868,Europe & Central Asia,0.363761898152469,World Bank country/territory or EU
Luxembourg,LUX,116965.586110774,15.3302080763221,Europe & Central Asia,1.1696558611077401,World Bank country/territory or EU
Latvia,LVA,30877.0419264807,3.95916507798465,Europe & Central Asia,0.308770419264807,World Bank country/territory or EU
Morocco,MAR,7625.73575345848,1.85072678357202,Middle East & North Africa,0.0762573575345848,World Bank country/territory or EU
Moldova,MDA,12659.983658527,3.17183206349277,Europe & Central Asia,0.12659983658527,World Bank country/territory or EU
Madagascar,MDG,1630.18935661644,0.128320761389143,Sub-Saharan Africa,0.016301893566164398,World Bank country/territory or EU
Maldives,MDV,19245.0813901631,3.70367497634302,South Asia,0.19245081390163102,World Bank country/territory or EU
Mexico,MEX,20096.1566534339,3.74147772536983,Latin America & Caribbean,0.200961566534339,World Bank country/territory or EU
Marshall Islands,MHL,3912.6987058732,3.25275628295556,East Asia & Pacific,0.039126987058732,World Bank country/territory or EU
North Macedonia,MKD,16777.4745574718,3.54972529364705,Europe & Central Asia,0.167774745574718,World Bank country/territory or EU
Mali,MLI,2338.53367649202,0.294583927721055,Sub-Saharan Africa,0.0233853367649202,World Bank country/territory or EU
Malta,MLT,44218.9956719403,3.19831624125622,Middle East & North Africa,0.442189956719403,World Bank country/territory or EU
Myanmar,MMR,4575.13099039776,0.605492802809427,East Asia & Pacific,0.0457513099039776,World Bank country/territory or EU
Montenegro,MNE,21489.2255407193,4.0499689020245,Europe & Central Asia,0.214892255407193,World Bank country/territory or EU
Mongolia,MNG,12317.4409245084,6.72509805331754,East Asia & Pacific,0.12317440924508401,World Bank country/territory or EU
Mozambique,MOZ,1320.70226453913,0.225115201178573,Sub-Saharan Africa,0.0132070226453913,World Bank country/territory or EU
Mauritania,MRT,5318.08595433072,0.908407126272224,Sub-Saharan Africa,0.053180859543307195,World Bank country/territory or EU
Mauritius,MUS,22741.3513182703,3.26404031287368,Sub-Saharan Africa,0.227413513182703,World Bank country/territory or EU
Malawi,MWI,1532.66847458818,0.0865337262442186,Sub-Saharan Africa,0.015326684745881801,World Bank country/territory or EU
Malaysia,MYS,28239.5000837184,7.6002204133699,East Asia & Pacific,0.282395000837184,World Bank country/territory or EU
Namibia,NAM,10329.6550239114,1.73589837846669,Sub-Saharan Africa,0.10329655023911401,World Bank country/territory or EU
Niger,NER,1229.22378179329,0.102037038018956,Sub-Saharan Africa,0.012292237817932901,World Bank country/territory or EU
Nigeria,NGA,5278.84839470055,0.667110198543523,Sub-Saharan Africa,0.0527884839470055,World Bank country/territory or EU
Nicaragua,NIC,5867.24389067727,0.805815232908442,Latin America & Caribbean,0.058672438906772706,World Bank country/territory or EU
Netherlands,NLD,57826.6284976675,8.7728237338512,Europe & Central Asia,0.578266284976675,World Bank country/territory or EU
Norway,NOR,69808.3294106839,7.0313611886935,Europe & Central Asia,0.698083294106839,World Bank country/territory or EU
Nepal,NPL,3864.32212409671,0.428179218238,South Asia,0.0386432212409671,World Bank country/territory or EU
Nauru,NRU,13963.7673923866,6.55553474433414,East Asia & Pacific,0.139637673923866,World Bank country/territory or EU
New Zealand,NZL,42575.4449179591,6.5726645716851,East Asia & Pacific,0.42575444917959104,World Bank country/territory or EU
Oman,OMN,33377.2826607888,15.1921243629744,Middle East & North Africa,0.333772826607888,World Bank country/territory or EU
Pakistan,PAK,4853.26655740247,0.981820104961691,South Asia,0.048532665574024705,World Bank country/territory or EU
Panama,PAN,31784.3144872865,2.42765632047745,Latin America & Caribbean,0.317843144872865,World Bank country/territory or EU
Peru,PER,13088.2958384558,1.69681922982601,Latin America & Caribbean,0.13088295838455802,World Bank country/territory or EU
Philippines,PHL,8720.60737919396,1.3336909595387,East Asia & Pacific,0.08720607379193959,World Bank country/territory or EU
Palau,PLW,18074.1999492078,16.191167439004,East Asia & Pacific,0.180741999492078,World Bank country/territory or EU
Papua New Guinea,PNG,4290.69828205284,0.866804456815709,East Asia & Pacific,0.0429069828205284,World Bank country/territory or EU
Poland,POL,31953.0350337072,8.23547225459022,Europe & Central Asia,0.319530350337072,World Bank country/territory or EU
Portugal,PRT,34928.5435337746,4.84061276050869,Europe & Central Asia,0.34928543533774603,World Bank country/territory or EU
Paraguay,PRY,13135.6988678799,1.21045377784493,Latin America & Caribbean,0.131356988678799,World Bank country/territory or EU
Qatar,QAT,93154.2348987235,32.4156391708326,Middle East & North Africa,0.931542348987235,World Bank country/territory or EU
Romania,ROU,29309.2062729793,3.84513275926788,Europe & Central Asia,0.293092062729793,World Bank country/territory or EU
Russian Federation,RUS,28821.2474490524,11.1266183699469,Europe & Central Asia,0.288212474490524,World Bank country/territory or EU
Rwanda,RWA,2138.89969873046,0.0877908243794144,Sub-Saharan Africa,0.0213889969873046,World Bank country/territory or EU
Saudi Arabia,SAU,48735.4604982217,15.2687805332958,Middle East & North Africa,0.487354604982217,World Bank country/territory or EU
Sudan,SDN,4474.6788151623,0.483235877575013,Sub-Saharan Africa,0.044746788151623,World Bank country/territory or EU
Senegal,SEN,3388.94631130208,0.621912356528099,Sub-Saharan Africa,0.0338894631130208,World Bank country/territory or EU
Singapore,SGP,100581.158024992,8.39913483236136,East Asia & Pacific,1.00581158024992,World Bank country/territory or EU
Solomon Islands,SLB,2762.41641187812,0.566740598232995,East Asia & Pacific,0.0276241641187812,World Bank country/territory or EU
Sierra Leone,SLE,1694.32647288051,0.133330736434022,Sub-Saharan Africa,0.0169432647288051,World Bank country/territory or EU
El Salvador,SLV,8822.5507744192,1.0606254107782,Latin America & Caribbean,0.088225507744192,World Bank country/territory or EU
Somalia,SOM,1156.65130160161,0.0459747904898814,Sub-Saharan Africa,0.011566513016016099,World Bank country/territory or EU
Serbia,SRB,17698.0495086667,6.52192219406972,Europe & Central Asia,0.176980495086667,World Bank country/territory or EU
Sao Tome and Principe,STP,4089.15666556115,0.663406497592782,Sub-Saharan Africa,0.0408915666556115,World Bank country/territory or EU
Suriname,SUR,19461.9765178867,3.61119261372218,Latin America & Caribbean,0.19461976517886698,World Bank country/territory or EU
Slovak Republic,SVK,31214.5925736482,6.05863547411852,Europe & Central Asia,0.312145925736482,World Bank country/territory or EU
Slovenia,SVN,38961.5443523867,6.77469533158397,Europe & Central Asia,0.389615443523867,World Bank country/territory or EU
Sweden,SWE,53521.6306428288,3.53800912688421,Europe & Central Asia,0.535216306428288,World Bank country/territory or EU
