gamma_fit,theta_fit
606.3192696833332,0.19230362596666664
587.6237203383334,0.3927251261816666
532.2778449333333,0.393857076375
667.8348931783333,0.27505527808333335
615.3195643816666,0.27505527808333335
484.2633816483333,0.24835004700666666
452.49443389,0.15941658587783333
424.133266785,0.321646538115
439.7970263266666,0.28969097437333335
533.0695303000001,0.22020193460266668
518.9050804850001,0.22020193460266668
681.7397132666666,0.27505527808333335
600.513616825,0.30308128694666664
592.0511843449999,0.39520593885833344
611.2190042966666,0.27505527808333335
548.3674813933334,0.27505527808333335
383.751951755,0.27505527808333335
357.27878523333334,0.24393532075333332
355.16504953,0.20643501123
356.64242732499997,0.2092382478
521.3316843916666,0.22020193460266668
501.00698208499995,0.2010895067611667
661.3233002733334,0.5671616938333334
583.39985471,0.5690923256450001
547.3405494750001,0.48108922858666664
534.908733595,0.45050708061833333
372.39065452833336,0.5187927603616665
346.70121965666664,0.61679702139
342.62535804833334,0.5950712032833333
361.242764995,0.5795713492333333
796.4057760633333,0.22020193460266668
499.59154808833335,0.22020193460266668
481.7157999183333,0.16400854451716668
701.6477694866667,0.59429142177
648.7552828416667,0.6520729458666666
561.9461086783333,0.6489168570833332
537.401965065,0.6457616008033333
494.96654502666667,0.6548441059450001
465.6907134483333,0.5739256871866667
474.15100633666674,0.435367720845
463.6609243,0.5795713492333333
653.3528827366666,0.7529009782383334
662.4935871083333,0.3581622543266667
684.204985535,0.3666559355533333
758.6587767849999,0.5664698519166667
762.6172348566666,0.4365944749516667
756.02766822,0.22127484620066665
629.8025483983333,0.18963368150833337
606.0890095650001,0.1093689102215
582.2844251050001,0.10857010725699998
531.3035160583333,0.33347510296733335
486.26270435666663,0.33347510296733335
487.55523021166664,0.33347510296733335
480.65117417666664,0.33347510296733335
473.150151655,0.33347510296733335
591.0327868083334,0.5269266088483334
565.5310319816667,0.5384228101183334
535.9082156316666,0.6213758895616667
529.39667077,0.8269366414283332
491.9732541199999,0.9619794297683332
470.80302430999996,0.8663927481833334
484.81214628500004,0.6701204240816666
497.68273784166666,0.980497094155
629.1172507883333,0.78354258681
640.151210325,0.78354258681
613.9925820433333,0.78354258681
620.3934897883332,0.7674621351666668
649.3609860183333,0.46700131062833333
659.6875694616666,0.35942038922166664
738.896410325,0.5344631080566666
748.0118261349999,0.5664698519166667
749.4386079833333,0.4313780452064999
733.8658657599999,0.2947689274973333
602.1748017716667,0.14947312431783333
582.6136117783333,0.10889316255116667
552.5038461316667,0.093740237867
553.6086071683334,0.08104432599233333
549.803133925,0.33347510296733335
549.3255743783334,0.33347510296733335
495.29044452166664,0.33347510296733335
494.679474455,0.33347510296733335
483.1087224583333,0.33347510296733335
463.50344066499997,0.33347510296733335
588.31190519,0.3929493374371667
555.1141717916666,0.512082567485
564.2826378683334,0.5269266088483334
540.0451597983333,0.5269266088483334
513.7092544166666,0.6800260140666666
525.5718022016667,1.1904154758533334
478.4213894433333,1.1904154758533334
471.09960746333337,1.17203887638
483.3212425133333,1.1511514204450002
495.3213541833333,1.4597449095200004
633.340790935,1.7161040479416667
643.7213834116667,0.78354258681
663.1694586216666,0.78354258681
627.9815476916667,0.78354258681
604.6291773949999,0.78354258681
616.3815249566667,0.78348226302
630.4707043316668,0.6848000376083334
643.8374564283333,0.29707144212633335
723.5909456483333,0.30482844855333335
723.5591346183332,0.42897456012999996
729.5186327399999,0.5205003797050001
703.6787738233332,0.35545673806116673
