number_id,source_file,source_type,row,column,value,context,label
present_value_site1043_pa41.11_det_r2_c7,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,2,7,0.06,,
present_value_site1043_pa41.11_det_r2_c8,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,2,8,2.61,,
present_value_site1043_pa41.11_det_r3_c1,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,1,41.11,,
present_value_site1043_pa41.11_det_r3_c2,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,2,16.80,,
present_value_site1043_pa41.11_det_r3_c3,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,3,10,,
present_value_site1043_pa41.11_det_r3_c4,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,4,0.88,,
present_value_site1043_pa41.11_det_r3_c5,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,5,1.28,,
present_value_site1043_pa41.11_det_r3_c6,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,6,0.87,,
present_value_site1043_pa41.11_det_r3_c7,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,7,0.10,,
present_value_site1043_pa41.11_det_r3_c8,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,8,2.93,,
present_value_site1043_pa41.11_det_r4_c1,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,1,41.11,,
present_value_site1043_pa41.11_det_r4_c2,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,2,21.80,,
present_value_site1043_pa41.11_det_r4_c3,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,3,15,,
present_value_site1043_pa41.11_det_r4_c4,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,4,0.48,,
present_value_site1043_pa41.11_det_r4_c5,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,5,2.28,,
