date,predict
1995-01-31,1.0
1995-02-28,0.99999999703914
1995-03-31,0.9999999759208439
1995-04-30,0.9999997790314654
1995-05-31,0.9999992068336231
1995-06-30,0.9999970727962687
1995-07-31,0.9999998283928028
1995-08-31,0.9999999268426931
1995-09-30,0.9999998494633473
1995-10-31,0.9999999021997658
1995-11-30,0.9999999547804929
1995-12-31,0.999997252272488
1996-01-31,0.9999917153979664
1996-02-29,0.9999944645308873
1996-03-31,0.9999906436212331
1996-04-30,0.9999934988426713
1996-05-31,0.9999782947824681
1996-06-30,0.9999776288742181
1996-07-31,0.9999982877126166
1996-08-31,0.9999994893963329
1996-09-30,0.999999229389813
1996-10-31,0.9999997389638565
1996-11-30,0.9999964230232504
1996-12-31,0.9999890564894504
1997-01-31,0.9999855379155483
1997-02-28,0.9999923188191233
1997-03-31,0.9999914664790903
1997-04-30,0.9999954423544588
1997-05-31,0.9999895981138557
1997-06-30,0.9999907457875171
1997-07-31,0.999998782627417
1997-08-31,0.999999005778744
1997-09-30,0.9999979451291745
1997-10-31,0.9999989085539186
1997-11-30,0.9999989830548144
1997-12-31,0.9999990247028658
1998-01-31,0.9999986197008615
1998-02-28,0.9999984278572777
1998-03-31,0.9999989023012631
1998-04-30,0.9999990099802643
1998-05-31,0.9999974785417819
1998-06-30,0.9999962747567718
1998-07-31,0.9999987376194223
1998-08-31,0.9999996353623243
1998-09-30,0.9999999431036616
1998-10-31,0.9999999418915894
1998-11-30,0.9999999300047786
1998-12-31,0.9999998859041236
1999-01-31,0.9999998703177169
1999-02-28,0.9999999161761401
1999-03-31,0.9999997935140286
1999-04-30,0.9999994842421154
1999-05-31,0.9999978638553066
1999-06-30,0.9999970484697444
1999-07-31,0.9999994442876935
1999-08-31,0.9999996524325105
1999-09-30,0.9999998875397359
1999-10-31,0.9999999954220016
1999-11-30,0.9999999974886578
1999-12-31,0.9999999895333076
2000-01-31,0.999999991259358
2000-02-29,0.9999999881096643
2000-03-31,0.9999999261547742
2000-04-30,0.9999999306346605
2000-05-31,0.9999997842141062
2000-06-30,0.9999999005575596
2000-07-31,0.9999999223517223
2000-08-31,0.9999999690904819
2000-09-30,0.9999999553132294
2000-10-31,0.9999999774420874
2000-11-30,0.999999966084261
2000-12-31,0.9999998642316065
2001-01-31,0.999999628675608
2001-02-28,0.999998863792334
2001-03-31,0.9999991634667911
2001-04-30,0.9999995912114895
2001-05-31,0.9999992703899739
2001-06-30,0.9999984417282439
2001-07-31,0.99999809362839
2001-08-31,0.9999994857993401
2001-09-30,0.9999995597176908
2001-10-31,0.9999998632143368
2001-11-30,0.9999997632282596
2001-12-31,0.9999997234807934
2002-01-31,0.9999997132544947
2002-02-28,0.9999996697877668
2002-03-31,0.9999993840445051
2002-04-30,0.9999984791939678
2002-05-31,0.9999958583423383
2002-06-30,0.9999912170984845
2002-07-31,0.99998532594606
2002-08-31,0.999998327743276
2002-09-30,0.9999978852412902
2002-10-31,0.9999965087945504
2002-11-30,0.9999984632272443
