date,predict
1995-01-31,1.0
1995-02-28,0.9999895919686913
1995-03-31,0.9999786074958191
1995-04-30,0.9999315880295587
1995-05-31,0.9998241781447267
1995-06-30,0.9996513399808681
1995-07-31,0.9999271692310325
1995-08-31,0.9999637952730064
1995-09-30,0.999951623685199
1995-10-31,0.9999578681825082
1995-11-30,0.9999157792652428
1995-12-31,0.9985237882282152
1996-01-31,0.9958265521583867
1996-02-29,0.9940372393604564
1996-03-31,0.9914114417132802
1996-04-30,0.9899525829532227
1996-05-31,0.9874213986602917
1996-06-30,0.9894546175922675
1996-07-31,0.9973429995939153
1996-08-31,0.9995112140895956
1996-09-30,0.999747290078257
1996-10-31,0.9996665284060168
1996-11-30,0.9975096084612542
1996-12-31,0.9937322735315725
1997-01-31,0.9915664114194079
1997-02-28,0.9920491436790462
1997-03-31,0.9926661216368113
1997-04-30,0.9941279980033513
1997-05-31,0.994356724975993
1997-06-30,0.9960616394735962
1997-07-31,0.9989392847697298
1997-08-31,0.9995793523662138
1997-09-30,0.999607314076706
1997-10-31,0.9997442653708131
1997-11-30,0.9997809925878064
1997-12-31,0.999783227084579
1998-01-31,0.9997287323662656
1998-02-28,0.9997046246525841
1998-03-31,0.9997522978336189
1998-04-30,0.9997326383636145
1998-05-31,0.9995057495147553
1998-06-30,0.9994036174531783
1998-07-31,0.9997098009282426
1998-08-31,0.9998970110284616
1998-09-30,0.999967192201319
1998-10-31,0.999969791519337
1998-11-30,0.999966862837252
1998-12-31,0.9999579052749717
1999-01-31,0.999955027292232
1999-02-28,0.9999620573306391
1999-03-31,0.9999352801867407
1999-04-30,0.9998606350851384
1999-05-31,0.9996328203718785
1999-06-30,0.999564703880048
1999-07-31,0.9998422399102284
1999-08-31,0.999911654220588
1999-09-30,0.999957002043112
1999-10-31,0.9999878581593161
1999-11-30,0.99998987594049
1999-12-31,0.9999852291726442
2000-01-31,0.9999858997874083
2000-02-29,0.9999840699519597
2000-03-31,0.9999671244681299
2000-04-30,0.9999661319451857
2000-05-31,0.9999419589709124
2000-06-30,0.999959844862048
2000-07-31,0.9999656985808434
2000-08-31,0.9999770143169493
2000-09-30,0.9999739282496948
2000-10-31,0.9999799471032202
2000-11-30,0.9999758682568772
2000-12-31,0.9999515307622482
2001-01-31,0.9999044439637064
2001-02-28,0.999809242420948
2001-03-31,0.9998348607807843
2001-04-30,0.9998874325334829
2001-05-31,0.9998338779248374
2001-06-30,0.9997190710231673
2001-07-31,0.999695380757636
2001-08-31,0.9998633712478002
2001-09-30,0.9999003126634737
2001-10-31,0.9999482854319725
2001-11-30,0.999934759972865
2001-12-31,0.9999273657381941
2002-01-31,0.9999230260210918
2002-02-28,0.9999002982216261
2002-03-31,0.9997444565186973
2002-04-30,0.9989683225804675
2002-05-31,0.9964949558251688
2002-06-30,0.9925015990106225
2002-07-31,0.9891252974517997
2002-08-31,0.9890218242116307
2002-09-30,0.9815109824796381
2002-10-31,0.9579253675550108
2002-11-30,0.909635542368615
2002-12-31,0.7250169469480738
2003-01-31,0.41104606447189695
2003-02-28,0.15601364242785923
2003-03-31,0.031965617908721454
2003-04-30,0.004802176847309938
2003-05-31,0.0017625842759697841
2003-06-30,0.005772128732300764
2003-07-31,0.04057857545147999
2003-08-31,0.0997189114539953
2003-09-30,0.14321554123433297
2003-10-31,0.16144658415232632
2003-11-30,0.16423437506205346
2003-12-31,0.1456145899639664
2004-01-31,0.10374313825438401
2004-02-29,0.038903374127182665
2004-03-31,0.005046153915320828
2004-04-30,0.00030127199184013247
2004-05-31,4.527434791306577e-05
2004-06-30,3.757141972430462e-05
2004-07-31,3.554472311456082e-05
2004-08-31,4.665683598918818e-05
2004-09-30,2.296010124333137e-05
2004-10-31,9.031947508557512e-06
2004-11-30,1.102858819863864e-05
2004-12-31,1.0352684100118813e-05
2005-01-31,4.678962471181807e-06
2005-02-28,9.413951718532478e-07
2005-03-31,1.4407937922299508e-07
2005-04-30,3.494563628724517e-08
2005-05-31,3.414282674699527e-08
2005-06-30,3.238821593624042e-08
2005-07-31,4.001944111864645e-08
2005-08-31,1.4784725282870375e-08
2005-09-30,7.348598013109708e-09
2005-10-31,6.323228168236228e-08
2005-11-30,7.837429664267716e-08
2005-12-31,1.2398202747903655e-08
2006-01-31,7.750700496328976e-10
2006-02-28,4.6333767847194965e-10
2006-03-31,2.7361645567047017e-10
2006-04-30,2.914969874081759e-10
2006-05-31,2.375048838676335e-10
2006-06-30,4.617651685930762e-11
2006-07-31,1.851222908611284e-10
2006-08-31,5.200227226903241e-08
2006-09-30,5.114916548287652e-07
2006-10-31,4.7410573774726665e-06
2006-11-30,2.506802527233443e-07
2006-12-31,4.6382143107993776e-08
2007-01-31,2.7559283521710978e-08
2007-02-28,4.0169517376581534e-08
2007-03-31,7.048155057520461e-08
2007-04-30,4.130659684397015e-08
2007-05-31,2.158706426109718e-08
2007-06-30,5.556804949870975e-08
2007-07-31,2.3224062747810017e-06
2007-08-31,7.6009721609318815e-06
2007-09-30,1.192317521234618e-06
2007-10-31,2.7002292310010053e-06
2007-11-30,0.00011267992679172161
2007-12-31,0.00023272880441926834
2008-01-31,0.00021258379717520426
2008-02-29,0.0008902921613071997
2008-03-31,0.009943726672659888
2008-04-30,0.07887545596181626
2008-05-31,0.3648573763429542
2008-06-30,0.8907370718413355
2008-07-31,0.9663685802655513
2008-08-31,0.9773554585104112
2008-09-30,0.9715099354992894
2008-10-31,0.935400124937121
2008-11-30,0.7862935681450086
2008-12-31,0.43755018389774697
2009-01-31,0.21037273504581971
2009-02-28,0.05639367596306934
2009-03-31,0.005683883563160318
2009-04-30,0.0006511656869478367
2009-05-31,0.00016939291981334125
2009-06-30,0.00039198321024329276
2009-07-31,0.0007461783344723283
2009-08-31,0.0007447311843802008
2009-09-30,0.00045557458124716106
2009-10-31,0.0003175547502019571
2009-11-30,0.00011229264388522507
2009-12-31,6.609419771013768e-05
2010-01-31,7.92236854656731e-05
2010-02-28,5.574824266815965e-05
2010-03-31,9.800681052052064e-05
2010-04-30,0.0002407436319820288
2010-05-31,0.0004899559152166515
2010-06-30,0.004302556796346372
2010-07-31,0.052823620995192354
2010-08-31,0.29243188695405054
2010-09-30,0.6981518516060813
2010-10-31,0.9418062453054504
2010-11-30,0.9974860374866132
2010-12-31,0.9996496632325133
2011-01-31,0.9998568009376444
2011-02-28,0.9998779364793268
2011-03-31,0.9998923510548275
2011-04-30,0.9998761796079714
2011-05-31,0.9997822341644866
2011-06-30,0.9995776454398254
2011-07-31,0.9997085254056959
2011-08-31,0.9998238623438855
2011-09-30,0.9995850381830285
2011-10-31,0.9991107753083084
2011-11-30,0.9986827862253507
2011-12-31,0.9959016515790229
2012-01-31,0.979902684836708
2012-02-29,0.9252283089096458
2012-03-31,0.7517171041868623
2012-04-30,0.5077653449531494
2012-05-31,0.2534444809734612
2012-06-30,0.08155043372022676
2012-07-31,0.014205435613823154
2012-08-31,0.0020261569260053166
2012-09-30,0.0008905940309919677
2012-10-31,0.0009821522200890742
2012-11-30,0.00131031133927152
2012-12-31,0.0015213282273992671
2013-01-31,0.0021664827933029628
2013-02-28,0.003820335895174164
2013-03-31,0.007113948744119791
2013-04-30,0.014909045330867336
